Muscle Group,Workout,Reps
Chest,bench press,4 by 8
Arms,Dumbell Curls ,3 by 10
Core ,Situps,3 by 25
Cardio,Running,20 minutes
Cardio,Cycling,20 minutes
Cardio,Jump Rope,20 minutes
Cardio,Rowing Machine,20 minutes
Cardio,Sprints,10 by 100 meters
Cardio,Swimming,20 laps
Cardio,HIIT Circuit,10 minutes
Abs,Full Reverse Crunch,3 by 10
Abs,Incline Hip Thrust,3 by 10
Abs,Incline Reverse Crunch,3 by 10
Abs,Lying Hip Thrust,3 by 10
Abs,Reverse Crunch,3 by 10
Abs,Reverse Medicine Ball Crunch,3 by 10
Abs,Alternating Heel Touch,3 by 10
Abs,Bent-Knee Medicine Ball Hip Rotation,3 by 10
Abs,Cable Chop,3 by 10
Abs,Cross Crunch,3 by 10
Abs,Cross Crunch w/ Medicine Ball,3 by 10
Abs,Decline Cross Sit-Up,3 by 10
Abs,Decline Sit-Up w/ Twist,3 by 10
Abs,Reverse Cable Chop,3 by 10
Abs,Seated Medicine Ball Twist,3 by 10
Abs,Trunk Rotator,3 by 10
Abs,Front Plank (from knees),3 by 10
Abs,Front Plank (from toes),3 by 10
Abs,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),3 by 10
Abs,Side-Plank (from knees),3 by 10
Abs,Side-Plank (hip lift),3 by 10
Abs,Side-Plank (from toes),3 by 10
Abs,Ab Cycle,3 by 10
Abs,Kneeling Ab Rollout,3 by 10
Abs,Medicine Ball V-Up,3 by 10
Abs,V-Up,3 by 10
Abs,Weighted V-Up,3 by 10
Abs,Bent Knee Sit-Up,3 by 10
Abs,Bent-Knee Crunch,3 by 10
Abs,Crunch,3 by 10
Abs,Crunch,3 by 10
Abs,Decline Crunch,3 by 10
Abs,Decline Sit-Up,3 by 10
Abs,Heel Touch,3 by 10
Abs,Sit-Up,3 by 10
Abs,Weighted Crunch,3 by 10
Back,Assisted Pull-Up,3 by 10
Back,Close-Grip Lat Pulldown,3 by 10
Back,Inverted Pull-Up,3 by 10
Back,Lat Pulldown,3 by 10
Back,Pull-Up,3 by 10
Back,Reverse-Grip Lat Pullown,3 by 10
Back,Reverse-Grip Pull-Up,3 by 10
Back,V-Bar Pull-Up,3 by 10
Back,Wide-Grip Lat Pulldown,3 by 10
Back,Bent-Over Alternating Dumbbell Row,3 by 10
